especie,porte,idade_categoria,temperatura,umidade,atividade_pct,nivel_risco
cao,grande,adulto,27.68,20.23,32.21,atencao
gato,unico,adulto,33.17,75.8,94.62,atencao
ave,unico,filhote,27.69,52.77,47.85,normal
ave,unico,filhote,19.51,63.32,54.62,critico
gato,unico,adulto,41.09,52.21,60.02,critico
gato,unico,filhote,23.93,36.17,91.54,normal
gato,unico,adulto,32.61,17.83,7.79,atencao
cao,medio,filhote,30.05,61.79,89.86,normal
gato,unico,adulto,25.66,24.63,22.15,atencao
cao,pequeno,adulto,22.42,80.03,68.55,atencao
cao,pequeno,adulto,25.58,13.32,25.38,critico
cao,pequeno,idoso,23.18,51.66,8.68,critico
gato,unico,filhote,28.81,40.63,76.3,normal
ave,unico,adulto,28.32,51.39,83.52,normal
ave,unico,adulto,34.09,69.72,77.74,atencao
ave,unico,filhote,32.81,45.41,17.21,critico
cao,grande,idoso,24.51,41.3,98.09,normal
cao,pequeno,idoso,26.14,63.33,73.96,normal
gato,unico,idoso,30.51,50.09,65.16,normal
ave,unico,adulto,31.9,46.83,81.96,normal
cao,grande,filhote,24.7,30.05,32.49,atencao
cao,pequeno,adulto,34.92,48.8,14.19,atencao
gato,unico,filhote,31.56,58.42,96.14,normal
cao,pequeno,filhote,25.34,51.79,69.81,normal
gato,unico,adulto,36.56,41.78,47.73,atencao
gato,unico,adulto,31.92,42.68,29.41,normal
cao,grande,adulto,28.35,67.45,77.2,normal
cao,pequeno,adulto,28.55,33.89,71.13,normal
gato,unico,adulto,33.86,35.6,59.06,normal
cao,medio,adulto,33.16,59.63,77.28,normal
cao,medio,adulto,30.54,44.38,47.02,normal
gato,unico,adulto,17.1,40.25,66.98,atencao
gato,unico,adulto,21.14,30.21,11.28,atencao
cao,grande,idoso,23.6,35.41,57.42,normal
cao,grande,adulto,37.67,43.52,53.17,atencao
cao,grande,adulto,21.41,25.08,3.28,critico
gato,unico,adulto,22.17,69.27,86.31,normal
cao,grande,adulto,32.91,40.01,27.91,normal
ave,unico,adulto,21.8,91.63,88.81,critico
cao,pequeno,adulto,35.65,54.92,31.4,atencao
cao,pequeno,filhote,21.78,51.07,67.57,normal
gato,unico,adulto,28.92,59.04,97.95,normal
gato,unico,adulto,27.23,42.92,82.59,normal
cao,grande,adulto,24.06,81.16,43.81,critico
ave,unico,adulto,41.89,69.26,80.24,atencao
gato,unico,adulto,25.73,36.93,28.3,normal
gato,unico,filhote,24.03,51.67,14.29,atencao
cao,pequeno,adulto,29.9,41.2,96.61,normal
gato,unico,idoso,29.83,51.85,68.02,normal
ave,unico,adulto,30.87,92.83,45.31,critico
gato,unico,adulto,21.68,16.74,18.91,atencao
ave,unico,adulto,25.57,69.94,30.55,atencao
cao,grande,adulto,27.11,81.45,85.52,atencao
cao,grande,adulto,25.19,48.59,19.75,normal
ave,unico,filhote,26.62,70.86,93.33,normal
gato,unico,adulto,35.12,55.03,57.77,atencao
cao,grande,adulto,32.85,56.35,37.22,normal
gato,unico,filhote,21.89,54.84,19.83,normal
cao,medio,idoso,28.59,30.46,77.21,atencao
cao,medio,adulto,28.6,35.14,85.84,normal
gato,unico,idoso,30.82,81.68,96.8,critico
gato,unico,idoso,31.82,39.66,23.36,normal
ave,unico,adulto,26.41,40.64,41.14,normal
cao,medio,adulto,30.25,24.84,53.9,atencao
gato,unico,adulto,29.54,43.62,37.16,normal
cao,pequeno,idoso,27.45,75.88,73.81,atencao
cao,pequeno,adulto,33.16,59.4,85.26,normal
gato,unico,adulto,23.95,76.35,2.84,critico
gato,unico,idoso,27.9,25.51,48.28,atencao
gato,unico,filhote,30.29,44.59,94.3,normal
cao,grande,idoso,32.07,47.59,82.41,normal
gato,unico,adulto,30.56,34.12,91.72,normal
cao,grande,filhote,27.57,61.1,52.0,normal
cao,pequeno,filhote,17.3,34.82,97.07,atencao
gato,unico,adulto,31.86,44.2,96.33,normal
cao,grande,adulto,30.15,49.3,61.98,normal
ave,unico,filhote,27.04,45.35,76.61,normal
cao,pequeno,filhote,28.18,40.23,96.2,normal
cao,medio,adulto,31.72,34.54,94.82,normal
cao,medio,idoso,33.55,66.86,33.36,normal
cao,medio,idoso,20.65,44.93,37.68,atencao
ave,unico,adulto,41.06,69.29,91.35,atencao
cao,medio,filhote,31.82,47.49,45.12,normal
gato,unico,adulto,25.55,25.59,21.91,atencao
gato,unico,filhote,22.06,66.55,48.47,normal
ave,unico,filhote,21.2,49.67,94.57,critico
cao,pequeno,idoso,28.67,44.91,79.4,normal
cao,pequeno,adulto,27.23,45.12,77.88,normal
gato,unico,adulto,23.48,43.21,9.34,atencao
cao,pequeno,adulto,23.81,77.03,10.84,atencao
cao,medio,adulto,21.78,34.7,73.69,normal
cao,grande,idoso,30.64,52.83,28.74,atencao
cao,grande,filhote,25.9,42.71,27.09,atencao
gato,unico,idoso,23.71,65.75,18.65,atencao
gato,unico,adulto,33.58,31.73,90.75,normal
gato,unico,filhote,27.33,66.76,23.72,normal
ave,unico,adulto,32.75,73.93,69.0,normal
gato,unico,adulto,28.81,74.42,99.65,atencao
gato,unico,filhote,29.34,46.06,78.35,normal
gato,unico,adulto,32.81,89.75,90.67,critico
gato,unico,idoso,26.47,54.08,40.49,normal
gato,unico,adulto,22.63,48.55,8.53,atencao
gato,unico,adulto,28.17,33.11,97.82,normal
ave,unico,idoso,42.77,36.71,28.99,critico
cao,grande,filhote,31.5,56.28,40.89,normal
gato,unico,adulto,32.75,62.9,95.73,normal
gato,unico,adulto,30.16,54.54,50.55,normal
gato,unico,adulto,33.06,64.64,18.84,normal
cao,grande,adulto,20.4,26.66,61.03,atencao
cao,pequeno,adulto,34.78,23.91,53.57,atencao
cao,grande,adulto,34.55,63.68,87.87,atencao
gato,unico,adulto,26.56,46.59,38.24,normal
cao,pequeno,filhote,34.07,56.52,67.13,atencao
gato,unico,adulto,30.5,66.53,64.74,normal
cao,pequeno,adulto,30.89,60.28,53.34,normal
ave,unico,idoso,28.92,31.52,97.3,atencao
ave,unico,adulto,33.49,48.0,78.66,normal
gato,unico,adulto,34.14,40.75,16.89,atencao
gato,unico,filhote,38.1,59.26,60.48,critico
cao,pequeno,filhote,35.96,65.91,35.65,atencao
gato,unico,adulto,31.09,53.6,55.8,normal
ave,unico,adulto,30.89,67.46,76.56,normal
cao,grande,idoso,17.78,37.64,30.44,atencao
cao,grande,idoso,25.59,53.06,57.1,normal
gato,unico,adulto,26.12,66.17,8.48,atencao
cao,medio,adulto,27.71,61.35,54.74,normal
gato,unico,adulto,28.71,64.49,95.71,normal
ave,unico,adulto,27.06,72.43,66.99,normal
cao,pequeno,adulto,23.87,48.37,9.8,critico
gato,unico,idoso,26.91,44.18,69.81,normal
ave,unico,adulto,28.36,42.66,43.38,normal
ave,unico,adulto,26.79,45.32,44.02,normal
gato,unico,adulto,28.97,37.28,44.38,normal
ave,unico,idoso,36.72,56.73,35.31,atencao
gato,unico,adulto,22.41,37.69,18.47,normal
cao,medio,adulto,22.53,41.14,38.28,normal
ave,unico,filhote,27.11,46.21,68.28,normal
cao,medio,adulto,23.1,85.64,49.76,critico
cao,medio,adulto,15.2,61.98,72.09,atencao
cao,grande,adulto,21.23,64.94,94.07,normal
ave,unico,filhote,26.78,50.86,88.6,normal
gato,unico,adulto,12.99,69.45,60.61,critico
gato,unico,idoso,32.05,41.03,80.23,normal
cao,grande,adulto,27.97,81.21,27.75,atencao
cao,pequeno,adulto,23.79,58.53,23.43,atencao
cao,grande,idoso,27.65,51.09,36.98,normal
cao,pequeno,filhote,26.83,25.31,36.81,atencao
ave,unico,filhote,34.83,48.05,74.35,normal
ave,unico,filhote,36.05,45.28,72.67,normal
gato,unico,adulto,23.27,43.72,9.74,normal
cao,medio,adulto,25.33,55.95,60.97,normal
ave,unico,adulto,44.69,60.54,83.45,critico
cao,pequeno,adulto,26.47,35.1,2.84,critico
cao,grande,adulto,37.7,54.3,43.33,atencao
ave,unico,adulto,31.98,51.56,95.69,normal
cao,pequeno,adulto,15.51,36.11,43.45,critico
cao,grande,adulto,22.41,37.46,46.38,normal
cao,medio,adulto,22.6,65.87,11.2,atencao
gato,unico,adulto,27.34,88.48,99.77,critico
gato,unico,filhote,31.72,52.58,93.2,normal
cao,pequeno,filhote,21.19,66.15,64.05,normal
cao,grande,adulto,30.84,62.83,78.88,normal
ave,unico,filhote,32.42,56.8,90.5,normal
cao,grande,idoso,23.74,81.37,19.27,critico
cao,pequeno,adulto,13.68,51.19,78.04,critico
cao,pequeno,idoso,34.61,52.76,40.31,atencao
cao,medio,adulto,27.22,51.3,28.89,normal
ave,unico,adulto,29.71,44.7,39.12,normal
ave,unico,idoso,37.83,52.22,88.82,normal
gato,unico,adulto,23.56,57.26,79.62,normal
cao,medio,filhote,28.72,49.03,58.48,normal
gato,unico,adulto,24.88,27.76,78.41,atencao
gato,unico,adulto,25.72,67.32,14.91,atencao
gato,unico,filhote,23.49,45.89,93.94,normal
cao,pequeno,adulto,30.82,31.92,83.61,normal
gato,unico,adulto,31.59,60.02,13.0,atencao
cao,medio,adulto,32.38,27.22,19.98,atencao
ave,unico,filhote,32.27,53.3,92.78,normal
cao,medio,idoso,19.78,48.37,79.8,atencao
cao,pequeno,adulto,33.5,54.96,65.48,normal
cao,grande,adulto,26.58,53.1,51.65,normal
gato,unico,filhote,25.71,51.08,23.13,normal
gato,unico,adulto,23.21,51.71,51.68,normal
cao,medio,filhote,25.37,24.52,39.24,atencao
cao,grande,adulto,31.91,54.8,65.01,normal
cao,medio,adulto,33.41,61.54,1.52,critico
cao,medio,idoso,15.41,59.47,39.51,critico
cao,grande,idoso,23.73,57.28,64.28,normal
cao,grande,adulto,39.71,62.85,33.3,critico
cao,pequeno,idoso,35.04,53.53,64.87,atencao
ave,unico,idoso,32.47,26.02,83.66,critico
gato,unico,idoso,35.56,53.35,64.22,critico
gato,unico,adulto,30.03,53.96,85.28,normal
gato,unico,adulto,33.43,87.92,49.07,critico
cao,pequeno,adulto,26.93,79.22,93.39,atencao
ave,unico,adulto,26.95,43.53,51.64,normal
gato,unico,idoso,29.69,53.16,26.06,normal
ave,unico,adulto,37.86,38.84,80.97,atencao
cao,grande,adulto,22.29,53.05,6.07,critico
cao,medio,adulto,26.36,59.46,95.08,normal
gato,unico,filhote,32.06,48.33,0.67,critico
gato,unico,adulto,10.83,37.45,86.19,critico
gato,unico,adulto,24.65,42.46,34.33,normal
gato,unico,filhote,13.8,34.86,45.25,critico
cao,medio,idoso,31.36,33.16,52.95,normal
ave,unico,adulto,30.57,58.81,94.79,normal
ave,unico,adulto,29.85,52.14,82.94,normal
gato,unico,adulto,26.33,38.98,9.52,atencao
gato,unico,adulto,21.97,78.66,6.66,atencao
cao,pequeno,filhote,21.56,43.59,84.51,normal
gato,unico,filhote,24.35,40.48,35.16,normal
cao,medio,adulto,27.73,69.02,59.42,normal
gato,unico,adulto,35.24,33.41,99.73,atencao
cao,grande,adulto,27.53,53.82,30.03,normal
gato,unico,adulto,30.5,38.4,91.33,atencao
cao,grande,adulto,36.4,15.55,60.41,atencao
gato,unico,idoso,27.77,81.22,76.45,critico
gato,unico,adulto,27.39,51.38,55.89,normal
gato,unico,adulto,26.96,60.61,23.75,normal
cao,medio,adulto,25.02,33.02,21.3,atencao
cao,grande,adulto,35.81,55.76,55.66,atencao
gato,unico,adulto,20.36,36.25,75.86,normal
ave,unico,adulto,22.04,59.31,51.5,atencao
ave,unico,adulto,27.75,57.69,15.95,critico
ave,unico,adulto,29.75,59.93,92.68,normal
cao,grande,adulto,28.35,71.49,43.24,atencao
cao,grande,filhote,30.33,62.09,88.02,normal
gato,unico,idoso,25.78,55.71,34.53,normal
cao,pequeno,filhote,24.86,63.48,30.33,normal
gato,unico,adulto,13.68,63.93,6.23,critico
cao,medio,adulto,33.15,55.72,20.56,atencao
cao,pequeno,adulto,33.66,54.99,50.19,normal
cao,grande,adulto,32.38,23.85,45.1,atencao
cao,pequeno,idoso,29.08,46.92,68.38,normal
gato,unico,adulto,41.31,38.78,97.84,critico
cao,grande,filhote,31.07,36.88,69.35,normal
cao,pequeno,adulto,34.78,48.84,12.73,atencao
gato,unico,adulto,34.07,40.75,61.04,atencao
cao,grande,adulto,29.5,40.32,35.45,normal
ave,unico,adulto,36.69,76.98,93.54,atencao
cao,medio,adulto,30.37,15.28,23.71,atencao
cao,medio,adulto,21.77,87.49,30.04,critico
ave,unico,adulto,23.26,85.8,41.93,normal
cao,medio,adulto,22.1,40.55,44.99,normal
cao,medio,adulto,30.98,40.03,72.48,normal
cao,medio,idoso,17.62,64.09,58.97,atencao
gato,unico,adulto,25.36,76.33,45.08,atencao
cao,medio,adulto,34.38,37.37,31.78,normal
ave,unico,adulto,35.79,42.39,89.41,normal
cao,grande,adulto,26.56,66.62,79.11,normal
gato,unico,filhote,28.31,73.07,3.9,critico
cao,pequeno,filhote,33.07,57.91,44.58,normal
ave,unico,filhote,26.42,50.43,76.18,normal
gato,unico,idoso,21.66,49.88,66.8,normal
cao,pequeno,adulto,25.01,60.84,32.99,normal
cao,grande,adulto,21.13,59.13,62.16,normal
cao,pequeno,adulto,30.33,47.39,43.48,normal
cao,pequeno,adulto,32.29,61.98,77.1,normal
gato,unico,filhote,24.29,53.07,47.37,atencao
cao,grande,adulto,21.37,66.69,35.26,normal
cao,pequeno,idoso,33.24,48.16,42.48,normal
gato,unico,idoso,27.5,62.68,77.95,normal
gato,unico,filhote,20.03,57.62,70.12,normal
gato,unico,idoso,32.72,63.71,70.9,normal
cao,medio,filhote,29.96,32.29,32.19,atencao
gato,unico,filhote,29.45,64.46,1.06,atencao
gato,unico,adulto,17.37,42.51,25.24,atencao
gato,unico,adulto,30.23,28.87,97.54,atencao
cao,grande,adulto,13.98,59.8,29.12,critico
gato,unico,idoso,26.47,50.76,3.79,critico
ave,unico,adulto,34.1,78.45,42.84,atencao
gato,unico,adulto,21.08,57.85,43.89,normal
gato,unico,adulto,30.15,32.61,41.8,normal
cao,grande,filhote,28.0,59.88,17.39,atencao
gato,unico,filhote,28.5,63.12,68.37,normal
cao,pequeno,filhote,24.1,33.83,90.83,normal
cao,pequeno,adulto,20.32,64.99,64.67,normal
ave,unico,filhote,37.22,66.39,99.88,normal
cao,grande,adulto,35.16,21.03,60.99,atencao
cao,medio,adulto,29.41,64.95,98.81,normal
gato,unico,filhote,30.19,47.2,52.35,normal
gato,unico,idoso,29.83,41.12,26.74,normal
cao,pequeno,filhote,25.65,42.77,50.33,normal
ave,unico,idoso,39.45,50.87,94.73,atencao
ave,unico,idoso,23.62,54.06,81.16,atencao
ave,unico,adulto,28.06,73.25,86.11,normal
gato,unico,adulto,21.25,46.7,89.73,normal
gato,unico,idoso,32.29,48.89,68.16,normal
ave,unico,adulto,27.34,74.69,50.06,normal
ave,unico,adulto,38.2,62.74,74.5,normal
ave,unico,adulto,32.18,48.07,46.47,normal
ave,unico,filhote,28.67,48.17,87.03,normal
cao,grande,adulto,25.25,32.31,97.68,normal
gato,unico,idoso,31.57,64.54,99.58,normal
ave,unico,adulto,27.43,53.87,84.29,normal
cao,medio,adulto,30.44,36.16,86.19,normal
cao,grande,filhote,23.99,40.61,67.32,normal
cao,medio,adulto,28.89,53.2,31.86,normal
gato,unico,adulto,32.28,40.62,26.01,normal
cao,medio,adulto,10.22,64.09,27.66,critico
cao,pequeno,adulto,24.94,23.26,31.52,atencao
cao,grande,adulto,35.76,30.2,77.18,atencao
gato,unico,idoso,21.63,51.11,17.2,atencao
gato,unico,filhote,22.35,63.41,99.3,normal
cao,grande,adulto,36.49,49.22,5.92,critico
gato,unico,idoso,30.86,44.83,73.48,normal
cao,grande,adulto,28.49,40.68,90.9,normal
cao,grande,adulto,31.96,56.34,88.79,normal
cao,pequeno,adulto,33.01,58.33,87.78,normal
gato,unico,adulto,29.76,71.59,74.41,atencao
cao,medio,adulto,22.84,28.21,23.08,atencao
gato,unico,adulto,20.41,10.03,84.7,critico
cao,grande,adulto,23.43,66.35,25.08,normal
ave,unico,adulto,32.79,66.48,51.81,normal
cao,pequeno,adulto,22.9,33.36,49.48,normal
cao,medio,filhote,28.26,36.94,5.53,critico
ave,unico,adulto,25.13,68.65,43.35,normal
gato,unico,idoso,20.03,51.4,96.95,atencao
cao,medio,idoso,25.48,54.51,95.2,normal
gato,unico,filhote,22.27,64.87,13.98,atencao
ave,unico,filhote,26.86,51.58,82.83,normal
cao,medio,adulto,21.01,53.29,50.94,normal
cao,grande,adulto,29.31,31.83,90.37,normal
cao,medio,adulto,34.6,68.76,81.22,normal
ave,unico,adulto,26.82,21.92,39.27,critico
gato,unico,filhote,18.18,49.61,14.95,atencao
cao,medio,adulto,35.0,36.36,60.14,atencao
cao,pequeno,adulto,34.16,34.09,22.81,atencao
ave,unico,filhote,32.32,67.2,58.73,normal
cao,grande,filhote,36.84,56.14,75.61,critico
gato,unico,idoso,20.49,68.93,53.25,atencao
cao,pequeno,adulto,34.15,46.79,72.89,normal
cao,medio,adulto,25.96,40.97,98.8,normal
gato,unico,filhote,13.4,57.63,79.07,critico
cao,grande,adulto,23.01,64.72,78.62,normal
cao,medio,adulto,28.44,48.86,65.74,normal
cao,grande,adulto,22.39,28.03,83.24,atencao
ave,unico,adulto,35.79,69.57,31.42,critico
gato,unico,idoso,28.5,37.46,20.33,normal
cao,pequeno,adulto,33.81,17.78,59.66,atencao
gato,unico,adulto,20.02,16.88,73.27,atencao
cao,grande,idoso,26.61,39.82,64.11,normal
gato,unico,adulto,20.9,53.28,37.86,normal
cao,pequeno,adulto,31.96,42.41,59.14,normal
cao,pequeno,filhote,21.27,35.46,57.12,normal
ave,unico,adulto,31.72,61.0,53.96,normal
gato,unico,adulto,29.73,64.4,3.9,atencao
cao,pequeno,adulto,20.59,49.22,32.87,normal
gato,unico,adulto,23.39,69.47,0.71,critico
cao,pequeno,adulto,40.41,38.41,50.95,critico
gato,unico,adulto,30.86,67.65,21.16,normal
cao,pequeno,adulto,28.01,65.3,31.19,normal
cao,medio,filhote,31.64,45.17,52.15,atencao
ave,unico,idoso,37.68,48.6,81.95,normal
cao,pequeno,adulto,32.32,31.65,75.28,normal
ave,unico,filhote,37.37,46.32,39.35,atencao
ave,unico,adulto,33.33,61.58,74.84,normal
gato,unico,adulto,24.18,67.41,95.52,normal
cao,grande,filhote,29.1,59.64,72.63,atencao
ave,unico,adulto,31.78,63.13,70.95,normal
ave,unico,filhote,40.03,56.08,79.03,atencao
gato,unico,adulto,27.37,87.19,76.61,critico
cao,medio,filhote,28.69,55.11,63.24,normal
ave,unico,idoso,33.38,52.41,68.83,normal
cao,medio,idoso,30.61,62.64,6.1,critico
gato,unico,filhote,21.57,74.08,76.88,atencao
cao,medio,filhote,24.04,66.88,28.97,atencao
cao,pequeno,adulto,29.75,37.98,76.02,normal
gato,unico,adulto,17.09,38.14,86.44,atencao
gato,unico,adulto,22.44,25.91,78.13,atencao
gato,unico,adulto,25.96,43.84,46.54,normal
gato,unico,adulto,33.83,31.6,88.7,normal
gato,unico,adulto,28.1,47.54,76.65,normal
gato,unico,idoso,26.84,62.7,91.82,normal
gato,unico,idoso,26.07,42.41,66.43,normal
cao,pequeno,idoso,32.76,40.16,73.39,normal
cao,pequeno,filhote,29.18,16.43,84.19,critico
cao,pequeno,adulto,26.08,54.07,72.44,normal
cao,grande,adulto,25.59,72.71,89.08,atencao
ave,unico,adulto,31.89,48.65,91.6,normal
cao,pequeno,adulto,26.68,87.9,74.7,critico
ave,unico,idoso,27.18,62.03,59.54,normal
cao,pequeno,filhote,26.21,62.17,30.05,normal
cao,grande,adulto,28.83,53.95,54.75,normal
gato,unico,idoso,23.87,40.98,90.42,normal
gato,unico,adulto,26.19,43.24,53.15,normal
ave,unico,adulto,41.49,55.08,51.17,atencao
gato,unico,adulto,28.64,58.27,29.2,normal
cao,medio,idoso,23.26,34.25,81.39,normal
gato,unico,adulto,12.67,61.27,74.96,critico
cao,pequeno,adulto,26.7,64.57,66.86,normal
gato,unico,adulto,27.56,31.37,98.87,normal
gato,unico,idoso,22.51,40.86,21.9,normal
gato,unico,adulto,28.96,38.99,30.3,normal
ave,unico,filhote,27.1,36.34,43.62,atencao
cao,pequeno,adulto,22.23,69.47,97.38,normal
ave,unico,adulto,25.07,73.31,76.54,normal
cao,grande,adulto,33.02,48.19,5.16,critico
gato,unico,adulto,26.84,56.67,26.87,normal
gato,unico,adulto,34.4,35.74,94.88,atencao
gato,unico,adulto,30.26,36.5,31.01,normal
ave,unico,idoso,20.16,55.83,38.85,critico
gato,unico,adulto,22.48,57.71,86.24,normal
cao,medio,adulto,34.17,70.26,43.31,atencao
gato,unico,adulto,31.63,23.56,17.58,atencao
gato,unico,adulto,36.39,66.75,66.05,normal
gato,unico,adulto,18.29,13.33,64.06,critico
ave,unico,adulto,29.88,45.58,74.32,atencao
cao,grande,adulto,24.77,64.66,24.9,atencao
gato,unico,idoso,30.0,27.48,78.46,atencao
gato,unico,adulto,32.3,46.17,42.8,normal
gato,unico,adulto,29.35,83.52,89.62,atencao
ave,unico,idoso,29.82,68.47,63.27,normal
cao,medio,adulto,36.63,30.23,49.34,atencao
ave,unico,idoso,30.41,37.06,63.55,atencao
cao,grande,adulto,28.23,53.86,65.93,normal
ave,unico,adulto,31.22,40.51,73.16,normal
gato,unico,idoso,23.05,54.85,80.18,normal
ave,unico,adulto,32.01,58.98,96.85,normal
gato,unico,idoso,31.13,64.08,84.66,normal
gato,unico,adulto,21.52,35.96,59.76,normal
cao,medio,adulto,23.69,49.07,54.58,normal
gato,unico,adulto,27.69,59.88,75.82,normal
cao,grande,adulto,27.82,17.94,25.57,atencao
gato,unico,filhote,28.75,63.53,37.7,normal
ave,unico,adulto,37.98,42.11,34.02,atencao
gato,unico,adulto,24.92,85.83,67.47,critico
ave,unico,adulto,32.32,63.45,19.3,critico
cao,pequeno,adulto,27.98,53.24,31.72,normal
gato,unico,adulto,30.05,46.0,98.02,normal
gato,unico,adulto,31.52,50.9,25.47,normal
gato,unico,idoso,31.28,60.19,32.85,normal
ave,unico,idoso,29.56,66.23,52.07,normal
gato,unico,adulto,41.81,49.34,83.51,critico
cao,medio,adulto,28.25,31.74,72.49,atencao
cao,grande,idoso,33.26,53.45,87.24,normal
cao,pequeno,adulto,33.26,39.12,40.9,normal
cao,grande,idoso,28.92,46.97,10.16,critico
ave,unico,adulto,37.6,52.37,50.4,normal
ave,unico,adulto,35.93,49.62,88.47,normal
cao,medio,adulto,26.36,56.7,32.17,normal
gato,unico,adulto,28.73,48.07,64.86,normal
cao,pequeno,adulto,22.52,28.04,60.47,atencao
gato,unico,adulto,15.48,30.95,69.57,atencao
cao,medio,filhote,28.87,51.59,45.78,normal
ave,unico,filhote,30.7,60.31,70.4,normal
cao,grande,filhote,33.72,37.64,78.48,normal
cao,pequeno,filhote,26.28,47.56,80.07,normal
cao,medio,filhote,29.95,66.7,38.47,normal
ave,unico,adulto,26.46,65.35,28.68,atencao
cao,grande,adulto,24.11,73.97,73.4,atencao
ave,unico,adulto,39.58,51.32,49.73,atencao
ave,unico,adulto,29.97,42.43,68.74,normal
gato,unico,filhote,21.85,60.21,36.89,normal
gato,unico,idoso,27.48,62.92,71.25,normal
gato,unico,adulto,27.46,42.97,43.31,normal
gato,unico,adulto,29.37,69.77,71.26,normal
cao,grande,filhote,21.11,48.18,52.96,atencao
ave,unico,filhote,32.96,45.27,97.75,normal
gato,unico,idoso,28.61,58.66,7.89,atencao
ave,unico,adulto,30.73,54.79,88.42,normal
cao,pequeno,idoso,21.14,43.23,11.58,critico
cao,medio,adulto,27.12,45.3,33.99,normal
gato,unico,adulto,33.64,30.8,77.66,normal
gato,unico,adulto,30.76,39.75,72.08,normal
cao,grande,filhote,22.31,41.74,85.03,normal
gato,unico,filhote,31.34,53.69,59.39,normal
gato,unico,adulto,22.23,32.52,25.0,normal
ave,unico,filhote,28.76,34.47,46.33,atencao
cao,medio,adulto,34.05,52.15,47.91,normal
cao,pequeno,idoso,26.19,32.27,91.06,atencao
ave,unico,filhote,27.97,66.02,74.98,normal
gato,unico,adulto,27.93,45.64,57.6,normal
ave,unico,adulto,30.56,58.89,75.82,normal
cao,pequeno,adulto,30.11,51.3,79.11,normal
cao,grande,adulto,22.12,11.52,31.07,critico
gato,unico,idoso,25.85,38.9,74.88,normal
ave,unico,filhote,30.17,71.65,78.88,normal
gato,unico,adulto,31.51,35.3,88.27,normal
cao,pequeno,adulto,36.82,35.57,92.37,atencao
cao,medio,adulto,32.44,77.54,54.9,atencao
gato,unico,idoso,19.63,37.14,57.03,atencao
gato,unico,adulto,27.09,39.3,21.8,atencao
gato,unico,adulto,30.87,34.88,65.51,normal
ave,unico,idoso,19.33,75.92,91.26,critico
cao,grande,filhote,21.13,33.6,22.4,atencao
cao,pequeno,idoso,17.52,35.09,84.52,atencao
gato,unico,filhote,26.52,82.17,79.76,critico
